"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2018488459","7/19/2018","7/19/2018","7/19/2018","10625 E 51ST AVE                                  ","3178574.00","1713537.00","5","511","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"20184912","1/3/2018","1/3/2018","1/3/2018","4400 E EVANS AVE                                  ","3158749.00","1672408.00","3","314","2205    ","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","","","",""
"20184942","1/3/2018","1/3/2018","1/3/2018","3435 S YOSEMITE ST                                ","3173094.00","1663993.00","3","323","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018495873","7/22/2018","7/22/2018","7/22/2018","2394 S BROADWAY ST                                ","3144304.00","1670510.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018497401","7/22/2018","1/1/1900","7/22/2018","1410 W 41ST AVE                                   ","3139317.00","1706813.00","1","112","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2018497742","7/23/2018","7/23/2018","7/23/2018","990 W 6TH AVE                                     ","3140766.00","1689518.00","3","311","0902","HOMICIDE - FAMILY","Murder","INDUSTRY","","","",""
"20185001625","4/3/2018","1/1/1900","4/3/2018","1676 N TAMARAC ST                                 ","3170170.00","1696220.00","2","223","3563    ","DRUG - MARIJUANA CULTIVATION","Drug Offenses","INDUSTRY","","","",""
"20185004341","9/18/2018","9/22/2018","9/22/2018","4410 N WASHINGTON ST                              ","3146579.00","1708250.00","1","112","5211    ","EXPLOSIVE/INCENDIARY DEV - POS","Weapons Offense","INDUSTRY","","","",""
"20185004407","9/25/2018","1/1/1900","9/25/2018","1290 S TENNYSON ST                                ","3128495.00","1677733.00","4","421","3563    ","DRUG - MARIJUANA CULTIVATION","Drug Offenses","NON-INDUSTRY","","","",""
"20185004419","9/25/2018","1/1/1900","9/25/2018","18679 E 45TH PL                                   ","3205290.00","1709293.00","5","523","3563    ","DRUG - MARIJUANA CULTIVATION","Drug Offenses","NON-INDUSTRY","","","",""
"20185004419","9/25/2018","1/1/1900","9/25/2018","18679 E 45TH PL                                   ","3205290.00","1709293.00","5","523","5212    ","WEAPON-BY PREV OFFENDER-POWPO","Weapons Offense","NON-INDUSTRY","","","",""
"20185004644","10/9/2018","1/1/1900","10/9/2018","2806 W SHORT PL                                   ","3134380.00","1688510.00","4","411","3563    ","DRUG - MARIJUANA CULTIVATION","Drug Offenses","INDUSTRY","","","",""
"20185005171","11/15/2018","1/1/1900","11/19/2018","4500 N JASON ST                                   ","3140782.00","1708915.00","1","112","7399    ","PUBLIC ORDER CRIMES - OTHER","All Other Crimes","INDUSTRY","","","",""
"2018503915","7/25/2018","7/25/2018","7/25/2018","1660 N PEARL ST                                   ","3146341.00","1695869.00","6","621","2305    ","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","INDUSTRY","","","",""
"2018505497","7/26/2018","7/26/2018","7/26/2018","1568 S FEDERAL BLVD                               ","3133861.00","1675958.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"201850731","1/22/2018","1/22/2018","1/22/2018","4105 N JASON ST                                   ","3140597.00","1706917.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018520120","8/1/2018","8/1/2018","8/1/2018","7380 E COLFAX AVE                                 ","3167983.00","1694958.00","2","223","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2018520240","8/1/2018","8/1/2018","8/1/2018","2020 S COLORADO BLVD                              ","3157519.00","1672944.00","3","314","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018520245","8/1/2018","8/1/2018","8/1/2018","1911 S BROADWAY ST                                ","3144086.00","1673620.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018520250","8/1/2018","8/1/2018","8/1/2018","2057 S BROADWAY ST                                ","3144170.00","1672737.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018520272","8/1/2018","8/1/2018","8/1/2018","2243 N FEDERAL BLVD                               ","3133363.00","1698718.00","1","121","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
