"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2018745233","10/31/2018","10/31/2018","10/31/2018","4900 N COLORADO BLVD                              ","3157486.00","1711516.00","2","221","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018746080","11/1/2018","11/1/2018","11/1/2018","5475 N PEORIA ST                                  ","3183035.00","1715021.00","5","511","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018746423","11/1/2018","11/1/2018","11/1/2018","3855 N QUENTIN ST                                 ","3184099.00","1706162.00","5","512","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018746561","11/1/2018","1/1/1900","11/1/2018","1940 W MISSISSIPPI AVE                            ","3137569.00","1678943.00","4","422","7399    ","PUBLIC ORDER CRIMES - OTHER","All Other Crimes","INDUSTRY","","","",""
"2018753269","11/4/2018","11/4/2018","11/4/2018","4837 N WASHINGTON ST                              ","3146510.00","1711040.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018753304","11/4/2018","11/4/2018","11/4/2018","505 W 40TH AVE                                    ","3142219.00","1706451.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018758199","11/4/2018","11/4/2018","11/6/2018","777 N CANOSA CT                                   ","3134947.00","1690779.00","1","122","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018765634","11/4/2018","11/4/2018","11/9/2018","4539 N COLUMBINE ST                               ","3152497.00","1709329.00","2","212","1208    ","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2018774561","11/12/2018","1/1/1900","11/13/2018","7739 E COLFAX AVE                                 ","3169284.00","1695129.00","2","223","1205    ","ROBBERY - STREET","Robbery-Street-Res","INDUSTRY","","","",""
"201878414","2/1/2018","2/2/2018","2/2/2018","1920 S CHEROKEE ST                                ","3143325.00","1673588.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018789291","11/20/2018","11/20/2018","11/20/2018","4773 N FOX ST                                     ","3142062.00","1710572.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018789303","11/20/2018","11/20/2018","11/20/2018","3480 PARK AVEW                                    ","3142322.00","1704085.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018789339","11/20/2018","11/20/2018","11/20/2018","399 S HARRISON ST                                 ","3157075.00","1683778.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
